CustomerID,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Predicted Churn
54332,1.0,0,3,7.0,1,0,4.0,6,4,5,2,2,0,22.0,2.0,2.0,1.0,148.25,1
50912,0.0,0,1,8.0,4,1,3.0,3,4,1,0,7,1,13.0,2.0,2.0,2.0,137.22,1
54457,1.0,2,1,10.0,4,1,3.0,4,4,3,2,3,0,14.0,2.0,2.0,1.0,139.2,1
54285,1.0,1,3,13.0,4,1,4.0,6,2,3,1,6,1,19.0,1.0,8.0,8.0,186.72,1
54913,1.0,1,1,23.0,4,0,3.0,2,4,5,2,3,0,17.0,4.0,16.0,15.0,152.43,1
53397,4.0,0,3,31.0,4,0,4.0,2,1,4,2,6,1,17.0,2.0,3.0080044676098288,1.0,256.94,1
51781,0.0,1,1,21.0,3,1,2.0,3,0,3,1,8,1,12.0,3.0,3.0080044676098288,7.0,236.1,1
50080,1.0,1,1,35.0,3,1,3.0,3,2,5,0,8,1,19.0,0.0,1.0,0.0,166.73,1
50024,0.0,2,3,26.0,4,0,3.0,5,2,3,0,4,1,11.0,1.0,2.0,2.0,145.59,1
52482,0.0,2,1,15.639895891429633,0,1,2.0,3,3,4,1,2,1,17.0,0.0,1.0,0.0,124.08,1
53048,1.0,0,3,7.0,1,0,3.0,5,4,4,2,3,1,12.0,2.0,2.0,3.0,146.74,1
55218,1.0,0,3,20.0,1,0,3.0,4,2,4,2,7,0,12.0,2.0,2.0,1.0,182.65,1
54937,1.0,0,3,16.0,5,0,3.0,4,4,1,2,3,1,15.0,2.0,2.0,3.0,148.23,1
54003,1.0,1,2,25.0,6,1,3.0,2,4,5,1,2,0,18.0,2.0,2.0,1.0,154.56,1
54940,15.0,1,1,11.0,4,1,3.0,4,4,3,1,11,1,13.0,1.0,3.0,8.0,149.61,1
53134,1.0,0,1,11.0,1,1,3.0,5,4,3,2,7,0,17.0,2.0,2.0,3.0,163.94,1
50297,0.0,2,1,15.639895891429633,1,0,3.0,4,3,4,0,6,0,16.0,0.0,1.0,1.0,125.46,1
50725,6.0,1,3,15.0,5,0,2.0,5,2,3,2,9,0,13.0,1.0,1.0,3.0,153.46,1
50009,13.0,2,3,9.0,5,1,2.9315348837209303,4,3,3,0,2,1,14.0,0.0,1.0,2.0,126.83,1
54723,1.0,1,1,7.0,6,1,4.0,4,4,1,2,3,1,14.0,7.0,8.0,9.0,151.86,1
51457,0.0,0,1,13.0,4,1,3.0,5,2,3,2,2,1,24.0,1.0,1.0,6.0,160.74,1
50316,0.0,0,2,29.0,6,0,2.0,3,0,5,1,10,1,15.0,1.0,1.0,2.0,199.5,1
52423,0.0,2,1,15.639895891429633,1,1,3.0,4,3,5,2,7,0,13.0,1.0,1.0,7.0,123.62,1
54849,1.0,2,3,28.0,6,1,3.0,5,4,4,2,3,1,14.0,2.0,2.0,1.0,146.21,1
55136,19.0,1,3,20.0,5,1,3.0,2,1,3,2,8,1,18.0,1.7510234462225531,4.0,9.0,261.95,1
52595,0.0,2,3,15.0,5,0,2.9315348837209303,5,3,4,2,2,0,13.0,2.0,2.0,2.0,127.6,1
51935,0.0,2,1,15.639895891429633,4,0,2.0,4,3,5,1,2,1,11.0,0.0,1.0,0.0,123.19,1
55622,14.0,1,3,35.0,5,1,3.0,5,0,5,1,6,1,14.0,3.0,3.0080044676098288,1.0,233.54,1
53076,1.0,0,1,11.0,1,1,3.0,4,4,2,2,20,1,24.0,2.0,2.0,1.0,147.85,1
54263,1.0,0,1,13.0,4,0,4.0,5,4,1,2,3,1,19.0,1.0,2.0,1.0,154.26,1
50908,2.0,0,1,8.0,4,0,2.0,4,4,5,2,3,1,23.0,0.0,1.0,0.0,136.46,1
50298,0.0,2,2,15.639895891429633,1,1,2.0,4,3,2,2,2,0,12.0,1.0,1.0,0.0,125.64,1
52551,10.189899366380917,1,1,8.0,4,1,3.0,3,4,4,2,2,0,12.0,0.0,1.0,0.0,113.93,1
50016,10.189899366380917,2,2,12.0,6,1,3.0,3,3,5,1,5,1,22.0,1.0,1.0,2.0,120.73,1
50808,0.0,2,1,13.0,1,0,2.0,3,3,3,1,4,1,13.0,1.0,7.0,7.0,133.39,1
52603,0.0,1,3,22.0,5,1,3.0,3,0,3,1,3,0,13.0,0.0,1.0,0.0,181.61,1
50933,0.0,0,3,19.0,1,0,2.0,3,2,4,2,6,0,11.0,0.0,1.0,0.0,157.65,1
51245,0.0,1,3,19.0,5,0,2.0,3,2,3,2,4,1,11.0,2.0,2.0,2.0,198.54,1
50169,0.0,1,3,10.0,5,1,2.0,4,2,2,2,2,1,12.0,7.0,7.0,4.0,158.28,1
51122,10.189899366380917,0,2,14.0,6,0,3.0,4,3,1,1,7,0,11.0,1.0,1.0,2.0,121.8,1
54752,1.0,1,3,23.0,5,0,4.0,4,2,5,2,7,0,16.0,2.0,2.0,3.0,178.24,1
52188,0.0,2,1,15.639895891429633,4,0,3.0,3,3,1,1,2,1,11.0,1.0,1.0,0.0,125.15,1
54950,8.0,1,2,7.0,3,1,4.0,5,0,5,1,11,0,15.0,3.0,4.0,4.543490512868683,229.82,1
53126,1.0,1,1,22.0,3,1,3.0,4,0,3,0,9,1,13.0,1.7510234462225531,8.0,8.0,261.1,1
52278,0.0,2,1,13.0,1,0,2.0,3,3,3,1,4,1,13.0,4.0,7.0,7.0,133.39,1
53435,1.0,1,1,18.0,3,0,4.0,6,2,4,0,7,0,16.0,2.0,2.0,1.0,172.77,1
50882,0.0,0,1,34.0,4,1,3.0,4,2,5,2,4,0,20.0,0.0,1.0,3.0,142.84,1
50545,2.0,2,1,15.639895891429633,0,1,3.0,3,3,5,0,8,1,21.0,1.0,2.0,2.0,124.04,1
52678,0.0,0,1,15.639895891429633,4,1,3.0,4,3,1,2,2,1,24.0,1.0,1.0,0.0,124.39,1
53131,1.0,0,2,30.0,6,0,3.0,4,0,5,1,11,1,16.0,2.0,2.0,4.543490512868683,224.5,1
53928,1.0,1,3,7.0,4,1,3.0,6,2,4,2,8,0,16.0,1.0,2.0,1.0,192.35,1
55108,16.0,1,3,12.0,4,1,4.0,4,0,4,2,11,1,20.0,8.0,8.0,4.543490512868683,209.46,1
51189,0.0,2,2,15.639895891429633,6,1,2.0,4,3,5,1,5,1,15.0,1.0,2.0,0.0,123.35,1
52174,10.189899366380917,0,1,14.0,0,1,3.0,3,3,3,2,2,0,12.0,1.0,1.0,0.0,119.04,1
51173,10.189899366380917,2,2,26.0,0,0,3.0,3,3,4,1,1,1,11.0,0.0,1.0,4.0,121.48,1
52827,12.0,1,1,7.0,4,1,4.0,5,0,3,2,11,1,14.0,1.0,2.0,1.0,178.81,1
53604,9.0,1,3,9.0,5,0,4.0,6,5,4,2,4,1,15.707921714818266,1.0,2.0,12.0,313.24,1
54378,1.0,2,1,7.0,1,1,3.0,4,4,3,2,2,0,15.0,1.0,2.0,6.0,145.58,1
54197,14.0,1,3,10.0,5,1,3.0,5,4,3,1,3,1,15.0,2.0,2.0,3.0,151.83,1
52108,10.189899366380917,0,1,8.0,4,1,2.0,3,3,5,1,7,1,14.0,0.0,1.0,2.0,120.42,1
52941,1.0,0,1,17.0,3,1,4.0,4,0,3,1,8,0,12.0,2.0,2.0,4.543490512868683,225.48,1
50953,0.0,2,1,15.639895891429633,1,1,3.0,4,3,5,2,7,0,13.0,0.0,1.0,7.0,123.62,1
50585,0.0,0,1,15.639895891429633,0,1,2.0,4,3,5,2,1,1,22.0,1.0,1.0,2.0,123.21,1
51486,0.0,2,1,15.0,3,0,2.0,3,4,5,2,8,0,22.0,1.0,1.0,4.0,142.0,1
54922,1.0,1,1,22.0,6,1,3.0,4,2,3,1,9,0,15.0,1.0,2.0,1.0,173.34,1
50539,0.0,2,1,24.0,6,0,2.9315348837209303,3,3,2,2,2,0,19.0,1.0,1.0,0.0,126.93,1
55514,1.0,0,1,23.0,1,1,3.0,6,4,5,1,3,1,24.0,1.0,4.0,1.0,148.07,1
55332,4.0,2,1,14.0,4,1,4.0,4,4,5,2,5,1,15.0,1.0,2.0,4.0,146.66,1
55314,1.0,0,3,10.0,3,0,4.0,4,4,1,2,3,1,13.0,2.0,2.0,1.0,140.69,1
50246,0.0,2,3,18.0,4,0,2.9315348837209303,2,3,4,2,2,0,15.0,0.0,1.0,0.0,127.16,1
51860,0.0,0,1,9.0,4,1,3.0,3,3,5,2,2,1,11.0,5.0,9.0,7.0,133.48,1
50656,0.0,0,1,30.0,1,1,3.0,4,0,5,2,2,0,12.0,0.0,1.0,9.0,187.22,1
53827,1.0,2,1,31.0,3,1,3.0,4,4,4,1,3,1,18.0,1.0,2.0,1.0,149.08,1
54375,1.0,1,1,10.0,1,0,3.0,4,4,5,2,7,1,12.0,1.0,2.0,5.0,151.57,1
52930,1.0,1,1,7.0,4,1,4.0,5,4,3,2,2,1,15.0,2.0,2.0,3.0,162.3,1
51372,0.0,0,1,22.0,4,0,3.0,5,4,5,2,2,1,22.0,0.0,6.0,7.0,139.19,1
53400,1.0,0,1,16.0,3,1,3.0,5,4,5,2,2,1,23.0,2.0,2.0,3.0,148.21,1
53962,1.0,1,3,14.0,5,1,3.0,4,4,4,2,3,0,14.0,2.0,2.0,1.0,151.79,1
54206,5.0,1,1,19.0,2,0,3.0,4,5,3,1,3,0,15.707921714818266,2.0,16.0,9.0,320.45,1
51320,19.0,2,1,15.639895891429633,1,1,3.0,3,3,3,1,9,0,11.0,6.0,9.0,8.0,123.39,1
50677,13.0,0,3,6.0,6,1,2.0,3,2,3,2,4,1,14.0,0.0,1.0,0.0,147.28,1
51098,10.189899366380917,1,2,28.0,6,1,2.0,5,4,3,1,2,0,11.0,0.0,1.0,0.0,115.55,1
55076,1.0,0,1,17.0,4,0,3.0,5,4,3,2,3,0,21.0,2.0,3.0,3.0,151.25,1
53892,1.0,1,1,15.0,3,1,4.0,5,4,3,2,3,1,12.0,2.0,2.0,3.0,164.89,1
54727,11.0,0,3,34.0,4,0,4.0,2,2,3,2,6,1,13.0,1.0,2.0,4.0,188.97,1
55003,1.0,1,1,19.0,4,0,4.0,4,4,1,1,3,1,12.0,2.0,2.0,1.0,150.15,1
53253,1.0,1,1,7.0,6,1,4.0,4,4,2,2,3,1,14.0,6.0,8.0,9.0,151.86,1
54060,1.0,1,3,20.0,5,0,3.0,4,2,3,2,5,1,12.0,3.0,3.0,4.543490512868683,223.54,1
50474,0.0,2,1,8.0,3,1,2.0,3,4,3,2,7,0,17.0,0.0,2.0,1.0,143.82,1
51789,0.0,0,1,10.0,1,1,3.0,4,4,3,2,6,0,16.0,0.0,1.0,2.0,138.94,1
52821,1.0,0,1,23.0,4,0,4.0,6,4,5,2,3,1,23.0,5.0,7.0,8.0,164.19,1
54775,1.0,0,1,12.0,3,0,3.0,5,4,3,1,3,1,15.0,1.0,2.0,8.0,148.66,1
52292,3.0,1,3,31.0,5,1,2.0,4,0,4,2,3,1,12.0,1.0,1.0,0.0,190.94,1
53797,1.0,1,3,7.0,4,1,4.0,5,2,5,1,3,0,12.0,4.0,7.0,4.543490512868683,222.14,1
52182,0.0,1,3,29.0,4,0,2.0,4,0,5,1,2,0,13.0,1.0,3.0,10.0,173.36,1
55229,1.0,0,1,9.0,3,1,3.0,5,4,5,2,9,0,12.0,2.0,2.0,1.0,150.61,1
52819,1.0,1,3,16.0,4,1,3.0,5,2,5,2,9,0,24.0,1.0,2.0,4.0,159.07,1
52601,0.0,1,3,22.0,4,0,3.0,3,0,5,2,3,1,20.0,1.0,1.0,0.0,185.64,1
50018,0.0,1,3,11.0,5,1,2.0,4,2,3,2,2,1,11.0,1.0,1.0,3.0,157.44,1
52094,0.0,0,3,35.0,3,1,3.0,5,2,5,2,9,0,18.0,1.0,2.0,2.0,149.69,1
55323,1.0,1,3,17.0,3,1,3.0,5,0,5,1,11,0,18.0,1.0,7.0,4.543490512868683,228.06,1
50444,18.0,1,1,8.0,3,1,3.0,3,5,5,0,6,1,15.707921714818266,1.0,1.0,4.0,298.59,1
53411,1.0,2,1,29.0,4,0,3.0,4,4,3,0,6,1,12.0,1.0,2.0,2.0,146.32,1
55557,17.0,1,3,31.0,4,1,4.0,4,0,5,2,8,1,14.0,1.0,3.0,4.543490512868683,229.48,1
54247,1.0,2,3,9.0,1,1,4.0,4,4,5,1,5,0,14.0,2.0,2.0,1.0,148.22,1
54618,1.0,0,3,12.0,5,1,4.0,4,4,4,2,3,1,15.0,2.0,2.0,1.0,143.78,1
51478,0.0,2,3,26.0,4,0,3.0,5,2,3,1,4,1,11.0,0.0,2.0,2.0,145.59,1
52925,1.0,2,1,21.0,3,1,3.0,4,4,2,0,7,1,14.0,1.0,2.0,5.0,149.36,1
53170,1.0,0,1,14.0,4,0,3.0,4,4,3,0,3,1,17.0,1.0,2.0,3.0,153.86,1
52659,0.0,2,2,15.639895891429633,6,1,2.0,4,3,5,1,5,1,15.0,2.0,2.0,0.0,123.35,1
53358,5.0,1,1,9.0,4,0,3.0,6,4,2,1,6,1,14.0,1.0,2.0,1.0,152.78,1
54806,1.0,1,3,7.0,3,0,3.0,5,4,3,1,8,1,20.0,2.0,2.0,3.0,153.0,1
50110,0.0,2,1,15.639895891429633,0,1,2.0,3,3,2,0,6,1,13.0,0.0,1.0,4.0,124.36,1
53130,1.0,0,1,27.0,4,1,4.0,4,0,3,0,5,0,13.0,2.0,2.0,4.543490512868683,223.24,1
52700,19.0,2,1,15.639895891429633,4,1,3.0,3,3,1,2,2,0,16.0,0.0,1.0,0.0,125.87,1
55540,1.0,0,2,29.0,6,0,3.0,5,4,4,1,3,0,13.0,2.0,2.0,1.0,153.63,1
51596,0.0,0,1,16.0,3,1,3.0,3,0,3,1,7,0,11.0,0.0,1.0,0.0,200.48,1
52883,1.0,1,1,30.0,4,1,3.0,5,2,3,0,5,1,14.0,2.0,2.0,2.0,184.16,1
53009,1.0,1,1,12.0,4,0,3.0,4,4,4,2,3,1,13.0,1.0,2.0,3.0,149.78,1
50587,0.0,2,1,15.639895891429633,4,0,3.0,4,3,5,2,7,1,20.0,1.0,1.0,0.0,124.04,1
50438,0.0,2,1,6.0,6,1,2.9315348837209303,3,3,2,2,2,1,13.0,5.0,7.0,8.0,126.86,1
50013,0.0,2,1,11.0,1,1,2.0,3,3,3,2,2,1,13.0,2.0,2.0,2.0,134.41,1
55434,1.0,2,1,15.0,3,0,4.0,4,4,5,1,3,1,18.0,1.0,2.0,1.0,148.98,1
51562,0.0,0,3,32.0,5,0,2.0,4,2,5,2,6,0,15.0,1.0,1.0,1.0,166.96,1
50857,0.0,0,3,24.0,5,0,3.0,3,2,3,0,1,1,18.0,3.0,3.0,2.0,146.14,1
52901,1.0,1,3,11.0,3,1,3.0,6,0,2,0,3,0,12.0,8.0,10.0,4.543490512868683,229.0,1
52452,0.0,1,3,7.0,4,1,3.0,4,2,5,1,2,0,11.0,1.0,6.0,7.0,197.14,1
53927,1.0,1,3,20.0,5,1,4.0,5,2,5,1,7,1,14.0,3.0,3.0,3.0,186.34,1
51510,0.0,0,1,15.639895891429633,0,1,3.0,4,3,3,1,2,1,15.0,0.0,1.0,1.0,125.66,1
53946,1.0,1,3,23.0,4,0,4.0,4,0,5,2,4,1,21.0,1.0,2.0,4.543490512868683,210.64,1
50355,0.0,0,1,13.0,4,0,2.9315348837209303,3,3,3,0,2,1,16.0,0.0,1.0,2.0,128.86,1
52788,0.0,2,1,7.0,3,1,2.0,3,4,1,1,10,1,14.0,2.0,2.0,2.0,147.87,1
52403,0.0,0,3,19.0,1,0,2.0,3,2,4,2,6,0,11.0,1.0,1.0,0.0,157.65,1
51919,0.0,1,3,14.0,1,1,2.0,4,2,5,2,7,0,17.0,0.0,1.0,2.0,153.26,1
53913,1.0,2,2,29.0,6,1,3.0,6,4,3,1,3,0,12.0,1.0,2.0,1.0,140.55,1
53144,1.0,0,2,24.0,4,0,3.0,4,4,3,1,2,1,12.0,1.0,2.0,1.0,152.41,1
52358,10.189899366380917,0,3,7.0,4,0,2.0,5,4,3,2,2,0,12.0,0.0,1.0,0.0,113.59,1
54583,1.0,1,2,9.0,1,1,3.0,5,4,1,2,3,0,13.0,1.0,2.0,1.0,150.64,1
54268,1.0,1,3,12.0,5,1,3.0,5,2,3,2,3,1,12.0,1.0,2.0,4.0,182.44,1
55536,1.0,0,1,12.0,4,0,3.0,2,4,3,2,5,1,15.0,1.0,2.0,4.0,149.32,1
53471,1.0,0,1,31.0,2,1,4.0,5,0,5,2,3,0,13.0,1.0,2.0,4.543490512868683,212.22,1
53752,1.0,0,3,20.0,4,0,4.0,4,4,4,0,3,0,14.0,1.0,2.0,1.0,145.33,1
53657,21.0,1,1,14.0,3,0,3.0,5,0,5,0,9,1,15.0,5.0,6.0,4.543490512868683,225.08,1
53555,5.0,0,1,12.0,4,1,4.0,5,4,5,1,8,0,18.0,2.0,2.0,1.0,146.07,1
52146,0.0,0,1,15.639895891429633,0,1,2.0,4,3,4,1,2,0,15.0,1.0,1.0,0.0,125.96,1
54479,1.0,1,1,12.0,4,0,3.0,4,4,4,2,3,1,13.0,1.0,2.0,3.0,149.78,1
52143,0.0,2,1,15.639895891429633,0,1,2.0,3,3,3,1,2,0,20.0,1.0,1.0,0.0,123.77,1
52820,1.0,1,1,13.0,3,1,3.0,4,4,5,2,4,0,12.0,2.0,2.0,4.0,154.6,1
53520,1.0,1,3,16.0,5,0,4.0,4,2,5,2,2,1,18.0,1.0,2.0,4.0,207.24,1
53483,1.0,0,1,36.0,3,0,3.0,5,2,3,2,3,0,23.0,4.0,4.0,9.0,170.08,1
50239,0.0,2,3,11.0,5,0,2.9315348837209303,3,3,3,2,2,1,13.0,1.0,1.0,0.0,128.51,1
52835,20.0,1,1,21.0,4,0,4.0,4,4,4,0,11,1,19.0,2.0,5.0,4.0,174.63,1
53054,1.0,1,3,12.0,5,0,3.0,4,4,3,2,3,1,14.0,2.0,2.0,1.0,153.51,1
54261,1.0,2,2,13.0,6,1,4.0,4,4,5,1,6,1,23.0,1.0,2.0,3.0,145.73,1
55407,1.0,0,2,15.0,6,0,4.0,5,4,1,1,8,0,12.0,2.0,2.0,3.0,146.8,1
55246,1.0,0,1,10.0,4,0,3.0,4,4,3,2,3,0,13.0,3.0,8.0,8.0,165.84,1
50932,0.0,0,3,6.0,1,1,2.9315348837209303,3,3,3,0,4,0,15.0,1.0,1.0,2.0,129.09,1
52955,1.0,1,1,9.0,4,1,4.0,4,4,3,2,4,0,12.0,2.0,2.0,1.0,159.85,1
50416,10.189899366380917,2,1,6.0,4,0,3.0,5,3,4,2,8,1,13.0,1.0,3.0,7.0,122.16,1
52619,0.0,2,1,15.639895891429633,0,0,3.0,3,3,5,1,2,1,17.0,0.0,1.0,0.0,123.98,1
55599,1.0,0,3,16.0,5,1,3.0,4,4,5,1,3,0,20.0,2.0,2.0,1.0,142.9,1
50653,10.189899366380917,1,1,16.0,4,0,2.0,4,4,5,2,2,0,13.0,1.0,1.0,0.0,114.16,1
53154,1.0,2,1,31.0,1,1,4.0,6,4,2,2,3,1,19.0,2.0,2.0,1.0,148.4,1
54066,1.0,0,1,12.0,4,0,3.0,2,4,3,2,5,1,15.0,1.0,2.0,4.0,149.32,1
55526,1.0,0,3,31.0,1,1,3.0,2,4,5,2,3,0,18.0,1.0,2.0,1.0,135.91,1
52210,10.189899366380917,0,1,11.0,4,1,3.0,4,3,5,1,7,0,17.0,0.0,1.0,0.0,121.07,1
53204,1.0,2,1,17.0,3,1,3.0,4,3,3,2,3,1,12.0,1.0,2.0,2.0,135.09,1
51841,0.0,2,3,8.0,5,1,2.9315348837209303,3,3,5,1,1,0,11.0,1.0,1.0,2.0,130.41,1
54824,1.0,1,1,25.0,6,0,4.0,4,4,1,2,3,0,20.0,2.0,2.0,1.0,151.93,1
51908,0.0,2,1,6.0,6,1,2.9315348837209303,3,3,1,2,2,1,13.0,6.0,7.0,8.0,126.86,1
54182,1.0,1,3,16.0,4,1,3.0,5,4,5,2,9,0,24.0,1.0,2.0,4.0,159.07,1
55177,1.0,2,1,15.0,4,0,3.0,5,4,4,2,3,0,13.0,1.0,2.0,1.0,137.61,1
52583,0.0,1,3,7.0,4,1,2.0,5,2,4,2,7,0,15.0,0.0,1.0,0.0,167.35,1
54023,1.0,0,1,31.0,4,1,4.0,5,4,1,2,3,1,25.0,2.0,2.0,1.0,149.39,1
52715,0.0,1,3,19.0,5,0,2.0,3,2,3,2,4,1,11.0,0.0,2.0,2.0,198.54,1
54230,1.0,1,1,16.0,3,1,4.0,5,4,3,1,2,1,18.0,2.0,2.0,1.0,158.88,1
55298,1.0,0,1,33.0,6,0,3.0,5,4,3,1,3,1,15.0,2.0,2.0,4.0,153.14,1
50135,0.0,0,1,35.0,0,1,3.0,4,3,4,2,1,0,11.0,1.0,1.0,4.0,134.79,1
50512,10.189899366380917,0,1,31.0,4,0,3.0,3,3,4,1,2,1,19.0,0.0,7.0,8.0,120.22,1
51871,0.0,2,3,9.0,4,0,3.0,3,2,3,2,10,0,14.0,1.0,2.0,0.0,145.77,1
54411,1.0,0,1,17.0,3,1,4.0,4,0,3,1,8,0,12.0,1.0,2.0,4.543490512868683,225.48,1
50603,0.0,0,1,11.0,4,1,3.0,3,4,2,2,2,0,15.0,1.0,1.0,0.0,110.51,1
54454,1.0,1,3,11.0,5,1,3.0,5,2,1,2,3,1,13.0,5.0,8.0,5.0,183.28,1
50319,0.0,0,1,10.0,1,1,2.0,4,4,3,2,6,0,16.0,1.0,1.0,2.0,138.94,1
52458,1.0,2,1,8.0,3,1,2.0,3,2,4,1,5,0,11.0,1.0,1.0,4.0,148.55,1
54529,4.0,1,3,29.0,5,1,4.0,5,2,3,1,4,1,13.0,2.0,2.0,1.0,188.8,1
54576,1.0,0,3,13.0,5,0,3.0,6,4,3,1,2,0,17.0,1.0,2.0,1.0,148.51,1
53027,1.0,2,1,15.0,6,1,4.0,6,4,5,0,3,1,12.0,2.0,2.0,8.0,146.19,1
51673,2.0,1,3,9.0,3,0,2.0,3,2,3,1,5,1,18.0,1.0,1.0,0.0,152.38,1
54604,1.0,0,1,11.0,1,1,4.0,5,4,3,2,7,0,17.0,1.0,2.0,3.0,163.94,1
54293,1.0,1,3,27.0,4,0,4.0,6,2,3,1,5,1,12.0,1.0,3.0,3.0,170.59,1
50258,0.0,0,1,9.0,1,1,2.9315348837209303,3,3,5,2,1,0,22.0,0.0,1.0,4.0,131.02,1
51731,10.189899366380917,0,1,10.0,1,1,2.0,3,3,1,2,10,1,23.0,1.0,1.0,0.0,122.85,1
53127,1.0,1,1,17.0,3,1,3.0,6,4,2,1,9,0,14.0,1.0,2.0,4.0,159.08,1
52836,1.0,1,3,13.0,4,1,4.0,6,2,3,0,6,1,19.0,7.0,8.0,8.0,186.72,1
52550,11.0,0,3,15.639895891429633,0,0,3.0,3,3,3,1,3,1,11.0,1.0,7.0,7.0,126.55,1
54366,1.0,1,3,34.0,5,0,3.0,4,0,1,1,3,0,23.0,1.0,2.0,10.0,201.39,1
51703,10.189899366380917,0,3,6.0,2,0,3.0,4,3,4,2,2,1,11.0,1.0,1.0,2.0,121.74,1
52663,0.0,0,1,15.639895891429633,4,0,2.0,3,3,1,2,1,1,14.0,1.0,1.0,2.0,123.79,1
54081,1.0,2,1,24.0,1,1,3.0,5,4,1,1,7,0,13.0,1.0,2.0,4.0,148.67,1
50888,10.189899366380917,0,3,6.0,4,0,2.0,5,4,3,2,2,0,12.0,1.0,1.0,0.0,113.59,1
50569,0.0,1,3,9.0,4,1,2.0,4,0,2,0,2,1,11.0,3.0,3.0,7.0,203.25,1
53759,1.0,0,1,9.0,3,1,3.0,5,4,5,2,9,0,12.0,1.0,2.0,1.0,150.61,1
54546,1.0,0,1,11.0,1,1,3.0,4,4,1,2,11,1,24.0,2.0,2.0,1.0,147.85,1
55107,4.0,1,3,32.0,5,1,3.0,5,0,4,2,4,1,13.0,2.0,2.0,4.543490512868683,215.94,1
52087,0.0,1,3,11.0,5,1,2.0,3,5,3,1,7,0,13.0,1.7510234462225531,1.0,0.0,283.03,1
55194,1.0,0,1,8.0,4,0,4.0,2,0,4,2,3,0,12.0,2.0,5.0,8.0,199.46,1
54656,1.0,1,3,9.0,5,1,3.0,4,4,5,1,2,0,12.0,2.0,2.0,3.0,155.41,1
54902,1.0,1,3,12.0,5,1,3.0,4,5,3,1,8,0,15.707921714818266,1.0,2.0,1.0,308.03,1
52499,10.189899366380917,0,3,9.0,3,0,3.0,3,4,1,2,2,1,12.0,1.0,1.0,0.0,115.69,1
53489,1.0,2,1,32.0,3,1,3.0,5,4,4,2,6,1,21.0,1.0,3.0,3.0,148.13,1
53723,3.0,0,1,9.0,4,0,3.0,5,4,5,2,4,1,24.0,1.0,2.0,1.0,161.46,1
50032,0.0,1,1,13.0,3,1,2.0,4,2,3,0,3,0,17.0,1.0,1.0,0.0,161.32,1
52608,6.0,0,1,15.639895891429633,1,1,2.0,4,3,3,1,10,1,16.0,1.0,1.0,0.0,124.37,1
51193,0.0,0,1,15.639895891429633,4,0,2.0,3,3,1,2,1,1,14.0,1.0,1.0,2.0,123.79,1
51062,0.0,0,3,18.0,6,1,2.0,3,2,1,2,4,1,24.0,3.0,6.0,7.0,145.81,1
55222,1.0,0,3,20.0,4,0,4.0,4,4,4,1,3,0,14.0,1.0,2.0,1.0,145.33,1
50212,10.189899366380917,2,1,14.0,6,1,3.0,5,3,5,0,2,1,11.0,1.0,1.0,7.0,121.19,1
54797,1.0,0,1,32.0,4,0,4.0,4,4,4,1,3,1,20.0,7.0,8.0,9.0,145.22,1
50290,0.0,2,3,6.0,1,0,3.0,3,3,4,2,2,1,16.0,1.0,1.0,4.0,132.02,1
50536,20.0,0,1,15.639895891429633,4,1,2.0,4,3,2,1,10,1,14.0,0.0,1.0,0.0,123.8,1
